,year,gameid,league,teamname,side,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result
0,2023,10660-10660_game_1,DCup,LNG Esports,Blue,Akali,Nocturne,K'Sante,Lee Sin,Wukong,Aatrox,Maokai,Orianna,Kalista,Senna,0
1,2023,10660-10660_game_1,DCup,Rare Atom,Red,Poppy,Ashe,Neeko,Vi,Jarvan IV,Rumble,Rell,LeBlanc,Varus,Renata Glasc,1
2,2023,10660-10660_game_2,DCup,LNG Esports,Blue,Nocturne,Udyr,Renata Glasc,Nautilus,Lee Sin,Kennen,Bel'Veth,Neeko,Senna,Tahm Kench,0
3,2023,10660-10660_game_2,DCup,Rare Atom,Red,Poppy,Ashe,Rumble,Tristana,Lucian,Jax,Jarvan IV,LeBlanc,Kalista,Rell,1
4,2023,10660-10660_game_3,DCup,LNG Esports,Blue,Rell,Nocturne,Tristana,Jarvan IV,Rumble,Jax,Bel'Veth,Neeko,Caitlyn,Lux,1
5,2023,10660-10660_game_3,DCup,Rare Atom,Red,Poppy,Ashe,LeBlanc,Sejuani,Vi,Aatrox,Lee Sin,Azir,Kalista,Renata Glasc,0
6,2023,10660-10660_game_4,DCup,Rare Atom,Blue,Poppy,LeBlanc,Neeko,Sejuani,Jax,Rumble,Jarvan IV,Tristana,Draven,Renata Glasc,1
7,2023,10660-10660_game_4,DCup,LNG Esports,Red,Rell,Nocturne,Ashe,Azir,Akali,Aatrox,Wukong,Orianna,Kalista,Senna,0
8,2023,10661-10661_game_1,DCup,JD Gaming,Blue,Ashe,Akali,LeBlanc,Vi,Jax,Renekton,Xin Zhao,Azir,Varus,Nautilus,1
9,2023,10661-10661_game_1,DCup,Top Esports,Red,Kalista,Nocturne,Neeko,Sejuani,Poppy,Aatrox,Lee Sin,Orianna,Lucian,Milio,0
10,2023,10661-10661_game_2,DCup,Top Esports,Blue,Varus,Nocturne,Azir,Jax,Udyr,Rumble,Poppy,Neeko,Lucian,Milio,1
11,2023,10661-10661_game_2,DCup,JD Gaming,Red,Ashe,Kalista,LeBlanc,Akali,,Ryze,Lee Sin,Orianna,Xayah,Rakan,0
12,2023,10661-10661_game_3,DCup,JD Gaming,Blue,Ashe,LeBlanc,Lucian,Rumble,Gragas,Jax,Nocturne,Neeko,Zeri,Lulu,1
