,year,gameid,league,teamname,side,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result
0,2017,1506-1540,LPL,I May,Blue,Syndra,Malzahar,Ashe,Karma,Poppy,Maokai,Kha'Zix,Cassiopeia,Varus,Tahm Kench,1
1,2017,1506-1540,LPL,Royal Never Give Up,Red,Camille,Rengar,Zyra,Elise,Rek'Sai,Kled,Lee Sin,Ryze,Caitlyn,Nautilus,0
2,2017,1506-1541,LPL,I May,Blue,Syndra,Malzahar,Ashe,Rek'Sai,Kha'Zix,Maokai,Lee Sin,Corki,Caitlyn,Thresh,1
3,2017,1506-1541,LPL,Royal Never Give Up,Red,Rengar,Camille,Varus,Cassiopeia,Orianna,Trundle,Rumble,Ryze,Jhin,Zyra,0
4,2017,1507-1544,LPL,Invictus Gaming,Blue,Jayce,Elise,Malzahar,Kha'Zix,Lee Sin,Singed,Rengar,LeBlanc,Varus,Tahm Kench,1
5,2017,1507-1544,LPL,Oh My God,Red,Camille,Rek'Sai,Syndra,Trundle,Nami,Maokai,Graves,Ryze,Ashe,Zyra,0
6,2017,1507-1545,LPL,Oh My God,Blue,Rek'Sai,Camille,Elise,Ashe,Varus,Nautilus,Lee Sin,Cassiopeia,Jhin,Zyra,0
7,2017,1507-1545,LPL,Invictus Gaming,Red,Malzahar,Rengar,LeBlanc,Trundle,Kled,Maokai,Kha'Zix,Ryze,Sivir,Tahm Kench,1
8,2017,1508-1551,LPL,Team WE,Blue,Elise,Ryze,Tahm Kench,Trundle,Nautilus,Maokai,Rek'Sai,Orianna,Ashe,Zyra,1
9,2017,1508-1551,LPL,Newbee,Red,Camille,LeBlanc,Rengar,Syndra,Caitlyn,Poppy,Lee Sin,Cassiopeia,Varus,Miss Fortune,0
10,2017,1508-1552,LPL,Newbee,Blue,Zyra,Malzahar,Varus,Caitlyn,Thresh,Nautilus,Kha'Zix,Cassiopeia,Ashe,Karma,1
11,2017,1508-1552,LPL,Team WE,Red,Camille,Rengar,LeBlanc,Trundle,Tahm Kench,Maokai,Lee Sin,Ryze,Ezreal,Braum,0
12,2017,1508-1557,LPL,Team WE,Blue,Kha'Zix,Ryze,Cassiopeia,Tahm Kench,Miss Fortune,Maokai,Elise,Corki,Ezreal,Zyra,1
13,2017,1508-1557,LPL,Newbee,Red,Camille,LeBlanc,Rengar,Varus,Caitlyn,Trundle,Lee Sin,Syndra,Ashe,Malzahar,0
14,2017,1509-1558,LPL,EDward Gaming,Blue,Jayce,Malzahar,Rengar,Ryze,Rumble,Maokai,Lee Sin,Syndra,Caitlyn,Zyra,1
15,2017,1509-1558,LPL,Vici Gaming,Red,Camille,LeBlanc,Kha'Zix,Ashe,Vi,Nautilus,Rek'Sai,Corki,Varus,Miss Fortune,0
16,2017,1509-1559,LPL,Vici Gaming,Blue,Camille,Jayce,LeBlanc,Ashe,Caitlyn,Nautilus,Lee Sin,Orianna,Varus,Zyra,0
17,2017,1509-1559,LPL,EDward Gaming,Red,Rengar,Syndra,Cassiopeia,Elise,Rek'Sai,Maokai,Kha'Zix,Ryze,Jhin,Miss Fortune,1
18,2017,1510-1560,LPL,LGD Gaming,Blue,Jhin,Syndra,Katarina,Tahm Kench,Fiora,Camille,Rek'Sai,Ziggs,Ezreal,Thresh,0
